Requested report - WIN WAVES
ORGANIZATION ID = 21FLMANA, 21FLHILLMONITORING LOCATION ID - LOCATION NAME = 361 - 361, 357 - 357, 336 - 336, 362 - 362, 21 - Lower Tampa Bay 3/4 mile NW of Piney Point, 22 - Entrance to Bishops Harbor, 90 - Lower Tampa Bay 1.25 mi south of Mullet KeyACTIVITY START DATE TIME =  FROM:  03/01/2020 TO:  DEP ANALYTE NAME - UNIT = Ammonia (N) - mg/L, pH - SU, Phosphorus- Total - mg/L, Salinity - PSU, Nitrogen- Total - mg/L, Chlorophyll a- corrected - ug/L
Report Run on APRIL 8, 2021The data you are accessing are from the WIN Warehouse.  The WIN Warehouse is refreshed on a weekly basis with new data that are submitted to WIN.  The refresh process occurs on the weekend; data uploaded to WIN through each Friday are available in the WIN Warehouse by the following Monday.  WIN replaces Florida STORET as an active data repository.  Florida STORET data are accessible through STORET Public Access (SPA).The following data met your selection criteria
"ORGANIZATION_ID"|"MONITORING_LOC_ID"|"GIS_HUC_TWELVE_CODE_NAME"|"ACTIVITY_ID"|"ACTIVITY_TYPE_NAME"|"ACTIVITY_START_TS"|"MATRIX_NAME"|"SAMPLE_COLLECTION_TYPE_NAME"|"SAMPLING_AGENCY_NAME"|"ACTIVITY_DEPTH_CNT"|"DEPTH_UNIT_NAME"|"ACTIVITY_TOP_DEPTH_CNT"|"ACTIVITY_BOTTOM_DEPTH_CNT"|"TOP_BOTTOM_DEPTH_UNIT_NAME"|"RESULT_KEY"|"DEP_ANALYTE_PRIMARY_NAME"|"DEP_RESULT_VALUE_CNT"|"DEP_RESULT_UNIT_NAME"|"DEP_MDL_CNT"|"DEP_PQL_CNT"|"VALUE_QUALIFIER_TEXT"|"SAMPLE_FRACTION_NAME"|"LABORATORY_SHORT_NAME"|"RESULT_COMMENT_TEXT"|"CENSORED_DECISIONS_TEXT"
"21FLHILL"|"21"|"TAMPA BAY"|"200616-021-B"|"Field"|"06/16/2020 09:55:00"|"AQUEOUS-Surface Water"|"Field Testing-Discrete"|"ENVIRONMENTAL PROTECTION COMMISSION OF HILLSBOROUGH COUNTY FLORIDA"|"4.1"|"m"|""|""|""|"6933743"|"pH"|"8.07"|"SU"|""|""|""|""|""|""|""
"21FLHILL"|"21"|"TAMPA BAY"|"200616-021-60089"|"Sample"|"06/16/2020 09:57:00"|"AQUEOUS-Surface Water"|"Intermediate Grab"|"ENVIRONMENTAL PROTECTION COMMISSION OF HILLSBOROUGH COUNTY FLORIDA"|"2.15"|"m"|""|""|""|"6933914"|"Phosphorus- Total"|".201"|"mg/L"|"0.116"|"0.464"|"I"|"Total"|"E44057"|""|""
"21FLHILL"|"21"|"TAMPA BAY"|"200616-021-M"|"Field"|"06/16/2020 09:56:00"|"AQUEOUS-Surface Water"|"Field Testing-Discrete"|"ENVIRONMENTAL PROTECTION COMMISSION OF HILLSBOROUGH COUNTY FLORIDA"|"2.1"|"m"|""|""|""|"6929136"|"Salinity"|"29.92"|"PSU"|""|""|""|""|""|""|""
"21FLHILL"|"21"|"TAMPA BAY"|"200616-021-60089"|"Sample"|"06/16/2020 09:57:00"|"AQUEOUS-Surface Water"|"Intermediate Grab"|"ENVIRONMENTAL PROTECTION COMMISSION OF HILLSBOROUGH COUNTY FLORIDA"|"2.15"|"m"|""|""|""|"6930132"|"Ammonia (N)"|".005"|"mg/L"|"0.005"|"0.02"|"U"|"Total"|"E44057"|""|""
"21FLHILL"|"21"|"TAMPA BAY"|"200616-021-T"|"Field"|"06/16/2020 09:58:00"|"AQUEOUS-Surface Water"|"Field Testing-Discrete"|"ENVIRONMENTAL PROTECTION COMMISSION OF HILLSBOROUGH COUNTY FLORIDA"|"0.3"|"m"|""|""|""|"6931730"|"Salinity"|"29.92"|"PSU"|""|""|""|""|""|""|""
"21FLHILL"|"21"|"TAMPA BAY"|"200616-021-B"|"Field"|"06/16/2020 09:55:00"|"AQUEOUS-Surface Water"|"Field Testing-Discrete"|"ENVIRONMENTAL PROTECTION COMMISSION OF HILLSBOROUGH COUNTY FLORIDA"|"4.1"|"m"|""|""|""|"6928977"|"Salinity"|"29.92"|"PSU"|""|""|""|""|""|""|""
"21FLHILL"|"21"|"TAMPA BAY"|"200727-021-T"|"Field"|"07/27/2020 10:09:00"|"AQUEOUS-Surface Water"|"Field Testing-Discrete"|"ENVIRONMENTAL PROTECTION COMMISSION OF HILLSBOROUGH COUNTY FLORIDA"|"0.3"|"m"|""|""|""|"7000550"|"Salinity"|"31.32"|"PSU"|""|""|""|""|""|""|""
"21FLHILL"|"21"|"TAMPA BAY"|"200727-021-B"|"Field"|"07/27/2020 10:07:00"|"AQUEOUS-Surface Water"|"Field Testing-Discrete"|"ENVIRONMENTAL PROTECTION COMMISSION OF HILLSBOROUGH COUNTY FLORIDA"|"5"|"m"|""|""|""|"7001462"|"pH"|"8.08"|"SU"|""|""|""|""|""|""|""
"21FLHILL"|"21"|"TAMPA BAY"|"200727-021-60421"|"Sample"|"07/27/2020 10:09:00"|"AQUEOUS-Surface Water"|"Intermediate Grab"|"ENVIRONMENTAL PROTECTION COMMISSION OF HILLSBOROUGH COUNTY FLORIDA"|"2.6"|"m"|""|""|""|"7006107"|"Ammonia (N)"|".045"|"mg/L"|"0.005"|"0.02"|""|"Total"|"E44057"|""|""
"21FLHILL"|"21"|"TAMPA BAY"|"200727-021-M"|"Field"|"07/27/2020 10:08:00"|"AQUEOUS-Surface Water"|"Field Testing-Discrete"|"ENVIRONMENTAL PROTECTION COMMISSION OF HILLSBOROUGH COUNTY FLORIDA"|"2.6"|"m"|""|""|""|"7005148"|"pH"|"8.07"|"SU"|""|""|""|""|""|""|""
"21FLHILL"|"21"|"TAMPA BAY"|"200727-021-60421"|"Sample"|"07/27/2020 10:09:00"|"AQUEOUS-Surface Water"|"Intermediate Grab"|"ENVIRONMENTAL PROTECTION COMMISSION OF HILLSBOROUGH COUNTY FLORIDA"|"2.6"|"m"|""|""|""|"7001732"|"Phosphorus- Total"|".247"|"mg/L"|"0.116"|"0.464"|"IG"|"Total"|"E44057"|"Field Blank >= MDL,Sample Result <= 10X Blank"|""
"21FLHILL"|"21"|"TAMPA BAY"|"200727-021-M"|"Field"|"07/27/2020 10:08:00"|"AQUEOUS-Surface Water"|"Field Testing-Discrete"|"ENVIRONMENTAL PROTECTION COMMISSION OF HILLSBOROUGH COUNTY FLORIDA"|"2.6"|"m"|""|""|""|"7004766"|"Salinity"|"31.46"|"PSU"|""|""|""|""|""|""|""
"21FLHILL"|"21"|"TAMPA BAY"|"200727-021-T"|"Field"|"07/27/2020 10:09:00"|"AQUEOUS-Surface Water"|"Field Testing-Discrete"|"ENVIRONMENTAL PROTECTION COMMISSION OF HILLSBOROUGH COUNTY FLORIDA"|"0.3"|"m"|""|""|""|"7001079"|"pH"|"8.08"|"SU"|""|""|""|""|""|""|""
"21FLHILL"|"21"|"TAMPA BAY"|"200727-021-B"|"Field"|"07/27/2020 10:07:00"|"AQUEOUS-Surface Water"|"Field Testing-Discrete"|"ENVIRONMENTAL PROTECTION COMMISSION OF HILLSBOROUGH COUNTY FLORIDA"|"5"|"m"|""|""|""|"7001900"|"Salinity"|"31.53"|"PSU"|""|""|""|""|""|""|""
"21FLHILL"|"21"|"TAMPA BAY"|"200817-021-T"|"Field"|"08/17/2020 10:30:00"|"AQUEOUS-Surface Water"|"Field Testing-Discrete"|"ENVIRONMENTAL PROTECTION COMMISSION OF HILLSBOROUGH COUNTY FLORIDA"|"0.3"|"m"|""|""|""|"7216510"|"Salinity"|"30.51"|"PSU"|""|""|""|""|""|""|""
"21FLHILL"|"21"|"TAMPA BAY"|"200817-021-60593"|"Sample"|"08/17/2020 10:30:00"|"AQUEOUS-Surface Water"|"Intermediate Grab"|"ENVIRONMENTAL PROTECTION COMMISSION OF HILLSBOROUGH COUNTY FLORIDA"|"2.75"|"m"|""|""|""|"7218843"|"Ammonia (N)"|".024"|"mg/L"|"0.005"|"0.02"|""|"Total"|"E44057"|""|""
"21FLHILL"|"21"|"TAMPA BAY"|"200817-021-M"|"Field"|"08/17/2020 10:30:00"|"AQUEOUS-Surface Water"|"Field Testing-Discrete"|"ENVIRONMENTAL PROTECTION COMMISSION OF HILLSBOROUGH COUNTY FLORIDA"|"2.8"|"m"|""|""|""|"7220233"|"Salinity"|"30.59"|"PSU"|""|""|""|""|""|""|""
"21FLHILL"|"21"|"TAMPA BAY"|"200817-021-60593"|"Sample"|"08/17/2020 10:30:00"|"AQUEOUS-Surface Water"|"Intermediate Grab"|"ENVIRONMENTAL PROTECTION COMMISSION OF HILLSBOROUGH COUNTY FLORIDA"|"2.75"|"m"|""|""|""|"7217461"|"Phosphorus- Total"|".355"|"mg/L"|"0.116"|"0.464"|"I"|"Total"|"E44057"|""|""
"21FLHILL"|"21"|"TAMPA BAY"|"200817-021-M"|"Field"|"08/17/2020 10:30:00"|"AQUEOUS-Surface Water"|"Field Testing-Discrete"|"ENVIRONMENTAL PROTECTION COMMISSION OF HILLSBOROUGH COUNTY FLORIDA"|"2.8"|"m"|""|""|""|"7217522"|"pH"|"7.98"|"SU"|""|""|""|""|""|""|""
"21FLHILL"|"21"|"TAMPA BAY"|"200817-021-B"|"Field"|"08/17/2020 10:29:00"|"AQUEOUS-Surface Water"|"Field Testing-Discrete"|"ENVIRONMENTAL PROTECTION COMMISSION OF HILLSBOROUGH COUNTY FLORIDA"|"5.3"|"m"|""|""|""|"7218699"|"pH"|"7.98"|"SU"|""|""|""|""|""|""|""
"21FLHILL"|"21"|"TAMPA BAY"|"200817-021-T"|"Field"|"08/17/2020 10:30:00"|"AQUEOUS-Surface Water"|"Field Testing-Discrete"|"ENVIRONMENTAL PROTECTION COMMISSION OF HILLSBOROUGH COUNTY FLORIDA"|"0.3"|"m"|""|""|""|"7216473"|"pH"|"7.99"|"SU"|""|""|""|""|""|""|""
"21FLHILL"|"21"|"TAMPA BAY"|"200817-021-B"|"Field"|"08/17/2020 10:29:00"|"AQUEOUS-Surface Water"|"Field Testing-Discrete"|"ENVIRONMENTAL PROTECTION COMMISSION OF HILLSBOROUGH COUNTY FLORIDA"|"5.3"|"m"|""|""|""|"7221332"|"Salinity"|"30.59"|"PSU"|""|""|""|""|""|""|""
"21FLHILL"|"21"|"TAMPA BAY"|"200928-021-B"|"Field"|"09/28/2020 10:05:00"|"AQUEOUS-Surface Water"|"Field Testing-Discrete"|"ENVIRONMENTAL PROTECTION COMMISSION OF HILLSBOROUGH COUNTY FLORIDA"|"5.2"|"m"|""|""|""|"7248608"|"pH"|"8.1"|"SU"|""|""|""|""|""|""|""
"21FLHILL"|"21"|"TAMPA BAY"|"200928-021-B"|"Field"|"09/28/2020 10:05:00"|"AQUEOUS-Surface Water"|"Field Testing-Discrete"|"ENVIRONMENTAL PROTECTION COMMISSION OF HILLSBOROUGH COUNTY FLORIDA"|"5.2"|"m"|""|""|""|"7252656"|"Salinity"|"27.8"|"PSU"|""|""|""|""|""|""|""
"21FLHILL"|"21"|"TAMPA BAY"|"200928-021-60997"|"Sample"|"09/28/2020 10:07:00"|"AQUEOUS-Surface Water"|"Intermediate Grab"|"ENVIRONMENTAL PROTECTION COMMISSION OF HILLSBOROUGH COUNTY FLORIDA"|"2.7"|"m"|""|""|""|"7250523"|"Phosphorus- Total"|".221"|"mg/L"|"0.116"|"0.464"|"I"|"Total"|"E44057"|""|""
"21FLHILL"|"21"|"TAMPA BAY"|"200928-021-M"|"Field"|"09/28/2020 10:07:00"|"AQUEOUS-Surface Water"|"Field Testing-Discrete"|"ENVIRONMENTAL PROTECTION COMMISSION OF HILLSBOROUGH COUNTY FLORIDA"|"2.7"|"m"|""|""|""|"7250097"|"Salinity"|"27.8"|"PSU"|""|""|""|""|""|""|""
"21FLHILL"|"21"|"TAMPA BAY"|"200928-021-60997"|"Sample"|"09/28/2020 10:07:00"|"AQUEOUS-Surface Water"|"Intermediate Grab"|"ENVIRONMENTAL PROTECTION COMMISSION OF HILLSBOROUGH COUNTY FLORIDA"|"2.7"|"m"|""|""|""|"7247785"|"Ammonia (N)"|".02"|"mg/L"|"0.02"|"0.08"|"U"|"Total"|"E44057"|""|""
"21FLHILL"|"21"|"TAMPA BAY"|"200928-021-T"|"Field"|"09/28/2020 10:07:00"|"AQUEOUS-Surface Water"|"Field Testing-Discrete"|"ENVIRONMENTAL PROTECTION COMMISSION OF HILLSBOROUGH COUNTY FLORIDA"|"0.3"|"m"|""|""|""|"7250050"|"Salinity"|"27.66"|"PSU"|""|""|""|""|""|""|""
"21FLHILL"|"21"|"TAMPA BAY"|"200928-021-T"|"Field"|"09/28/2020 10:07:00"|"AQUEOUS-Surface Water"|"Field Testing-Discrete"|"ENVIRONMENTAL PROTECTION COMMISSION OF HILLSBOROUGH COUNTY FLORIDA"|"0.3"|"m"|""|""|""|"7247692"|"pH"|"8.12"|"SU"|""|""|""|""|""|""|""
"21FLHILL"|"21"|"TAMPA BAY"|"200928-021-M"|"Field"|"09/28/2020 10:07:00"|"AQUEOUS-Surface Water"|"Field Testing-Discrete"|"ENVIRONMENTAL PROTECTION COMMISSION OF HILLSBOROUGH COUNTY FLORIDA"|"2.7"|"m"|""|""|""|"7251055"|"pH"|"8.11"|"SU"|""|""|""|""|""|""|""
"21FLHILL"|"21"|"TAMPA BAY"|"201027-021-B"|"Field"|"10/27/2020 11:18:00"|"AQUEOUS-Surface Water"|"Field Testing-Discrete"|"ENVIRONMENTAL PROTECTION COMMISSION OF HILLSBOROUGH COUNTY FLORIDA"|"5.1"|"m"|""|""|""|"7497386"|"pH"|"7.78"|"SU"|""|""|""|""|""|""|""
"21FLHILL"|"21"|"TAMPA BAY"|"201027-021-M"|"Field"|"10/27/2020 11:19:00"|"AQUEOUS-Surface Water"|"Field Testing-Discrete"|"ENVIRONMENTAL PROTECTION COMMISSION OF HILLSBOROUGH COUNTY FLORIDA"|"2.7"|"m"|""|""|""|"7498765"|"Salinity"|"29.54"|"PSU"|""|""|""|""|""|""|""
"21FLHILL"|"21"|"TAMPA BAY"|"201027-021-61229"|"Sample"|"10/27/2020 11:19:00"|"AQUEOUS-Surface Water"|"Intermediate Grab"|"ENVIRONMENTAL PROTECTION COMMISSION OF HILLSBOROUGH COUNTY FLORIDA"|"2.65"|"m"|""|""|""|"7498325"|"Phosphorus- Total"|".132"|"mg/L"|"0.116"|"0.464"|"I"|"Total"|"E44057"|""|""
"21FLHILL"|"21"|"TAMPA BAY"|"201027-021-M"|"Field"|"10/27/2020 11:19:00"|"AQUEOUS-Surface Water"|"Field Testing-Discrete"|"ENVIRONMENTAL PROTECTION COMMISSION OF HILLSBOROUGH COUNTY FLORIDA"|"2.7"|"m"|""|""|""|"7496276"|"pH"|"7.78"|"SU"|""|""|""|""|""|""|""
"21FLHILL"|"21"|"TAMPA BAY"|"201027-021-B"|"Field"|"10/27/2020 11:18:00"|"AQUEOUS-Surface Water"|"Field Testing-Discrete"|"ENVIRONMENTAL PROTECTION COMMISSION OF HILLSBOROUGH COUNTY FLORIDA"|"5.1"|"m"|""|""|""|"7499735"|"Salinity"|"29.62"|"PSU"|""|""|""|""|""|""|""
"21FLHILL"|"21"|"TAMPA BAY"|"201027-021-T"|"Field"|"10/27/2020 11:20:00"|"AQUEOUS-Surface Water"|"Field Testing-Discrete"|"ENVIRONMENTAL PROTECTION COMMISSION OF HILLSBOROUGH COUNTY FLORIDA"|"0.3"|"m"|""|""|""|"7499046"|"Salinity"|"29.47"|"PSU"|""|""|""|""|""|""|""
"21FLHILL"|"21"|"TAMPA BAY"|"201027-021-T"|"Field"|"10/27/2020 11:20:00"|"AQUEOUS-Surface Water"|"Field Testing-Discrete"|"ENVIRONMENTAL PROTECTION COMMISSION OF HILLSBOROUGH COUNTY FLORIDA"|"0.3"|"m"|""|""|""|"7497936"|"pH"|"7.78"|"SU"|""|""|""|""|""|""|""
"21FLHILL"|"21"|"TAMPA BAY"|"201027-021-61229"|"Sample"|"10/27/2020 11:19:00"|"AQUEOUS-Surface Water"|"Intermediate Grab"|"ENVIRONMENTAL PROTECTION COMMISSION OF HILLSBOROUGH COUNTY FLORIDA"|"2.65"|"m"|""|""|""|"7500499"|"Ammonia (N)"|".044"|"mg/L"|"0.02"|"0.08"|"I"|"Total"|"E44057"|""|""
"21FLHILL"|"21"|"TAMPA BAY"|"201123-021-M"|"Field"|"11/23/2020 10:33:00"|"AQUEOUS-Surface Water"|"Field Testing-Discrete"|"ENVIRONMENTAL PROTECTION COMMISSION OF HILLSBOROUGH COUNTY FLORIDA"|"2.5"|"m"|""|""|""|"7589617"|"pH"|"8.07"|"SU"|""|""|""|""|""|""|""
"21FLHILL"|"21"|"TAMPA BAY"|"201123-021-B"|"Field"|"11/23/2020 10:32:00"|"AQUEOUS-Surface Water"|"Field Testing-Discrete"|"ENVIRONMENTAL PROTECTION COMMISSION OF HILLSBOROUGH COUNTY FLORIDA"|"4.8"|"m"|""|""|""|"7587045"|"Salinity"|"29.04"|"PSU"|""|""|""|""|""|""|""
"21FLHILL"|"21"|"TAMPA BAY"|"201123-021-B"|"Field"|"11/23/2020 10:32:00"|"AQUEOUS-Surface Water"|"Field Testing-Discrete"|"ENVIRONMENTAL PROTECTION COMMISSION OF HILLSBOROUGH COUNTY FLORIDA"|"4.8"|"m"|""|""|""|"7587032"|"pH"|"8.05"|"SU"|""|""|""|""|""|""|""
"21FLHILL"|"21"|"TAMPA BAY"|"201123-021-T"|"Field"|"11/23/2020 10:34:00"|"AQUEOUS-Surface Water"|"Field Testing-Discrete"|"ENVIRONMENTAL PROTECTION COMMISSION OF HILLSBOROUGH COUNTY FLORIDA"|"0.3"|"m"|""|""|""|"7588975"|"pH"|"8.08"|"SU"|""|""|""|""|""|""|""
"21FLHILL"|"21"|"TAMPA BAY"|"201123-021-61432"|"Sample"|"11/23/2020 10:33:00"|"AQUEOUS-Surface Water"|"Intermediate Grab"|"ENVIRONMENTAL PROTECTION COMMISSION OF HILLSBOROUGH COUNTY FLORIDA"|"2.5"|"m"|""|""|""|"7586751"|"Phosphorus- Total"|".145"|"mg/L"|"0.116"|"0.464"|"I"|"Total"|"E44057"|""|""
"21FLHILL"|"21"|"TAMPA BAY"|"201123-021-M"|"Field"|"11/23/2020 10:33:00"|"AQUEOUS-Surface Water"|"Field Testing-Discrete"|"ENVIRONMENTAL PROTECTION COMMISSION OF HILLSBOROUGH COUNTY FLORIDA"|"2.5"|"m"|""|""|""|"7587915"|"Salinity"|"27.25"|"PSU"|""|""|""|""|""|""|""
"21FLHILL"|"21"|"TAMPA BAY"|"201123-021-61432"|"Sample"|"11/23/2020 10:33:00"|"AQUEOUS-Surface Water"|"Intermediate Grab"|"ENVIRONMENTAL PROTECTION COMMISSION OF HILLSBOROUGH COUNTY FLORIDA"|"2.5"|"m"|""|""|""|"7591151"|"Ammonia (N)"|".02"|"mg/L"|"0.02"|"0.08"|"U"|"Total"|"E44057"|""|""
"21FLHILL"|"21"|"TAMPA BAY"|"201123-021-T"|"Field"|"11/23/2020 10:34:00"|"AQUEOUS-Surface Water"|"Field Testing-Discrete"|"ENVIRONMENTAL PROTECTION COMMISSION OF HILLSBOROUGH COUNTY FLORIDA"|"0.3"|"m"|""|""|""|"7589368"|"Salinity"|"27.18"|"PSU"|""|""|""|""|""|""|""
"21FLHILL"|"21"|"TAMPA BAY"|"201215-021-61650"|"Sample"|"12/15/2020 10:18:00"|"AQUEOUS-Surface Water"|"Intermediate Grab"|"ENVIRONMENTAL PROTECTION COMMISSION OF HILLSBOROUGH COUNTY FLORIDA"|"2.25"|"m"|""|""|""|"7740137"|"Ammonia (N)"|".02"|"mg/L"|"0.02"|"0.08"|"U"|"Total"|"E44057"|""|""
"21FLHILL"|"21"|"TAMPA BAY"|"201215-021-B"|"Field"|"12/15/2020 10:16:00"|"AQUEOUS-Surface Water"|"Field Testing-Discrete"|"ENVIRONMENTAL PROTECTION COMMISSION OF HILLSBOROUGH COUNTY FLORIDA"|"4.3"|"m"|""|""|""|"7739058"|"pH"|"8"|"SU"|""|""|""|""|""|""|""
"21FLHILL"|"21"|"TAMPA BAY"|"201215-021-61650"|"Sample"|"12/15/2020 10:18:00"|"AQUEOUS-Surface Water"|"Intermediate Grab"|"ENVIRONMENTAL PROTECTION COMMISSION OF HILLSBOROUGH COUNTY FLORIDA"|"2.25"|"m"|""|""|""|"7739168"|"Phosphorus- Total"|".116"|"mg/L"|"0.116"|"0.464"|"UQ"|"Total"|"E44057"|"Sample analyzed beyond hold time"|""
"21FLHILL"|"21"|"TAMPA BAY"|"201215-021-T"|"Field"|"12/15/2020 10:19:00"|"AQUEOUS-Surface Water"|"Field Testing-Discrete"|"ENVIRONMENTAL PROTECTION COMMISSION OF HILLSBOROUGH COUNTY FLORIDA"|"0.3"|"m"|""|""|""|"7738940"|"pH"|"8.01"|"SU"|""|""|""|""|""|""|""
"21FLHILL"|"21"|"TAMPA BAY"|"201215-021-B"|"Field"|"12/15/2020 10:16:00"|"AQUEOUS-Surface Water"|"Field Testing-Discrete"|"ENVIRONMENTAL PROTECTION COMMISSION OF HILLSBOROUGH COUNTY FLORIDA"|"4.3"|"m"|""|""|""|"7740403"|"Salinity"|"26.27"|"PSU"|""|""|""|""|""|""|""
"21FLHILL"|"21"|"TAMPA BAY"|"201215-021-M"|"Field"|"12/15/2020 10:18:00"|"AQUEOUS-Surface Water"|"Field Testing-Discrete"|"ENVIRONMENTAL PROTECTION COMMISSION OF HILLSBOROUGH COUNTY FLORIDA"|"2.3"|"m"|""|""|""|"7736951"|"pH"|"8.01"|"SU"|""|""|""|""|""|""|""
"21FLHILL"|"21"|"TAMPA BAY"|"201215-021-T"|"Field"|"12/15/2020 10:19:00"|"AQUEOUS-Surface Water"|"Field Testing-Discrete"|"ENVIRONMENTAL PROTECTION COMMISSION OF HILLSBOROUGH COUNTY FLORIDA"|"0.3"|"m"|""|""|""|"7740045"|"Salinity"|"26.06"|"PSU"|""|""|""|""|""|""|""
